,City,Country,Lat,Long,Temp,Max Temp,Humidity,Clouds,Wind Speed
0,qaanaaq,GL,77.48,-69.36,10.78,10.78,80,100,6.35
1,samarai,PG,-10.62,150.67,74.77,74.77,93,46,3.31
2,pevek,RU,69.7,170.27,5.49,5.49,66,0,2.21
3,busselton,AU,-33.64,115.35,71.13,75.0,43,0,6.35
4,abalak,NE,15.46,6.28,92.7,92.7,10,63,3.15
5,jamestown,AU,-33.21,138.6,50.02,50.02,58,7,10.4
6,la libertad,PE,-16.38,-71.56,59.0,59.0,38,87,2.24
7,alofi,NU,-19.06,-169.92,66.2,66.2,100,20,1.12
8,pinsk,BY,52.11,26.1,51.12,51.12,84,77,11.95
9,mount gambier,AU,-37.83,140.78,50.0,50.0,81,90,6.93
10,nizhnevartovsk,RU,60.93,76.58,12.2,12.2,92,90,6.71
11,pombas,BR,-15.9,-54.74,80.76,80.76,68,94,1.9
12,bluff,AU,-23.58,149.07,77.81,77.81,53,59,10.85
13,souillac,FR,45.6,-0.6,46.92,48.2,81,90,10.29
14,uzhur,RU,55.32,89.85,-1.25,-1.25,77,100,7.2
15,mangrol,IN,25.33,76.51,77.97,77.97,37,0,3.91
16,margate,AU,-43.03,147.26,46.06,48.0,75,75,4.7
17,albany,US,42.65,-73.75,20.53,25.0,49,1,11.41
18,yellowknife,CA,62.45,-114.38,-2.24,1.0,83,40,6.93
19,bitkine,TD,11.98,18.21,98.65,98.65,10,11,9.04
20,chekmagush,RU,55.14,54.65,32.74,32.74,84,92,12.8
21,bethel,US,60.79,-161.76,10.85,12.2,66,75,21.92
22,khatanga,RU,71.98,102.47,-8.79,-8.79,88,88,3.62
23,hithadhoo,MV,-0.6,73.08,78.3,78.3,85,100,14.38
24,ushuaia,AR,-54.81,-68.31,52.79,53.6,88,75,17.22
25,carnarvon,ZA,-30.97,22.13,87.37,87.37,11,0,9.04
26,dingle,PH,11.0,122.67,74.97,74.97,90,100,2.24
27,katsuura,JP,33.93,134.5,53.6,53.6,66,20,8.05
28,caravelas,BR,-17.73,-39.27,80.87,80.87,73,88,12.15
29,rikitea,PF,-23.12,-134.97,73.29,73.29,85,96,16.37
30,chokurdakh,RU,70.62,147.9,-3.28,-3.28,98,99,5.1
31,istanbul,TR,41.01,28.95,66.99,69.8,60,0,12.75
32,ulaangom,MN,49.98,92.07,1.78,1.78,41,7,2.68
33,santa marinella,IT,42.04,11.87,55.31,57.99,87,20,9.17
34,avarua,CK,-21.21,-159.78,73.4,73.4,94,17,3.36
35,takoradi,GH,4.89,-1.75,83.64,83.64,71,80,7.09
36,sovetskiy,RU,56.76,48.47,34.16,34.16,79,100,12.91
37,mataura,NZ,-46.19,168.86,46.0,46.0,84,3,8.01
38,padilla,CO,3.23,-76.31,69.8,69.8,94,75,3.36
39,portland,US,43.66,-70.25,19.63,23.0,41,1,12.75
40,upernavik,GL,72.79,-56.15,21.04,21.04,72,100,13.33
41,airai,TL,-8.93,125.41,67.3,67.3,84,1,3.09
42,henties bay,NA,-22.12,14.28,66.0,66.0,81,79,5.01
43,punta arenas,CL,-53.16,-70.91,52.2,53.6,54,99,19.46
44,genhe,CN,50.78,121.52,-4.22,-4.22,88,0,2.95
45,kapaa,US,22.08,-159.32,73.89,75.2,88,20,8.05
46,hervey bay,AU,-25.3,152.85,73.62,75.0,88,40,21.92
47,bambous virieux,MU,-20.34,57.76,76.8,78.01,83,75,14.99
48,bredasdorp,ZA,-34.53,20.04,62.17,63.0,87,100,14.99
49,cidreira,BR,-30.17,-50.22,66.09,66.09,75,1,9.15
50,kokopo,PG,-4.34,152.27,83.07,83.07,75,100,4.92
51,tasiilaq,GL,65.61,-37.64,28.4,28.4,63,40,11.41
52,barrow,AR,-38.31,-60.23,71.76,71.76,52,72,9.26
53,port elizabeth,US,39.31,-74.98,38.71,42.01,59,20,16.11
54,hermanus,ZA,-34.42,19.24,66.9,70.0,86,100,5.99
55,sao filipe,CV,14.9,-24.5,72.28,72.28,78,76,12.26
56,krasnyy yar,RU,50.7,44.73,40.48,40.48,58,0,13.96
57,port alfred,ZA,-33.59,26.89,71.01,71.01,81,70,3.0
58,hilo,US,19.71,-155.08,68.86,72.0,68,1,3.36
59,hamilton,CA,43.26,-79.87,18.14,26.01,78,90,12.75
60,lhokseumawe,ID,5.18,97.15,74.23,74.23,92,98,0.74
61,ayabaca,PE,-4.64,-79.72,58.8,58.8,84,93,1.3
62,panaba,MX,21.28,-88.27,72.0,72.0,80,59,3.0
63,dikson,RU,73.51,80.55,-4.92,-4.92,90,0,4.92
64,vaini,IN,15.34,74.49,77.0,77.0,69,40,3.36
65,carupano,VE,10.67,-63.26,77.67,77.67,78,58,1.34
66,edgewood,US,39.42,-76.29,36.86,41.0,69,5,4.7
67,sola,TZ,-3.17,33.8,83.97,83.97,38,98,4.16
68,birjand,IR,32.86,59.22,57.2,57.2,10,0,9.17
69,talakan,RU,50.29,130.28,1.31,1.31,89,100,6.51
70,ribeira grande,PT,38.52,-28.7,66.2,66.2,55,20,4.7
71,cape town,ZA,-33.93,18.42,69.62,70.0,64,20,33.33
72,vardo,US,39.62,-77.74,33.57,35.6,59,90,10.29
73,georgetown,GY,6.8,-58.16,85.15,86.0,83,75,6.93
74,hobart,AU,-42.88,147.33,46.04,48.0,75,75,4.7
75,port augusta,AU,-32.49,137.76,56.59,60.8,63,40,12.75
76,lewisporte,CA,49.25,-55.06,35.19,35.6,94,75,12.75
77,isangel,VU,-19.55,169.27,74.12,74.12,81,51,15.19
78,ponta do sol,BR,-20.63,-46.0,75.76,75.76,70,63,2.19
79,naze,NG,5.43,7.07,87.8,87.8,74,75,2.24
80,dunedin,NZ,-45.87,170.5,48.99,48.99,82,7,4.0
81,bontang,ID,0.12,117.47,80.46,80.46,79,100,4.88
82,kavaratti,IN,10.57,72.64,83.7,83.7,69,100,4.27
83,hambantota,LK,6.12,81.12,82.4,82.4,94,40,2.24
84,kandrian,PG,-6.21,149.55,73.71,73.71,91,100,2.33
85,kaitangata,NZ,-46.28,169.85,44.01,44.01,97,66,1.99
86,jumla,NP,29.28,82.18,42.19,42.19,35,17,5.21
87,zharkent,KZ,44.17,80.0,34.02,34.02,40,0,9.75
88,aitape,PG,-3.15,142.36,84.13,84.13,77,100,9.15
89,divnomorskoye,RU,44.5,38.13,60.62,60.62,74,0,8.43
90,mahebourg,MU,-20.41,57.7,76.86,78.01,83,75,14.99
91,ariguani,CO,10.25,-74.0,83.62,83.62,70,27,7.0
92,kruisfontein,ZA,-34.0,24.73,66.43,66.43,81,75,12.75
93,touros,BR,-5.2,-35.46,86.0,86.0,55,75,14.99
94,cockburn town,TC,21.46,-71.14,80.85,80.85,78,0,11.25
95,awbari,LY,26.59,12.77,80.87,80.87,9,91,4.23
96,east london,ZA,-33.02,27.91,71.6,71.6,78,40,9.17
97,provideniya,RU,64.42,-173.23,19.72,19.72,93,100,13.04
98,new norfolk,AU,-42.78,147.06,46.06,48.0,75,75,4.7
99,castro,CL,-42.48,-73.76,53.6,53.6,81,75,19.46
100,butaritari,KI,3.07,172.79,80.87,80.87,80,100,8.88
101,simbahan,PH,6.3,120.58,83.14,83.14,67,0,2.1
102,carutapera,BR,-1.2,-46.02,81.9,81.9,77,73,15.61
103,nikolskoye,RU,59.7,30.79,36.59,37.99,86,90,6.71
104,yar-sale,RU,66.83,70.83,3.92,3.92,93,100,17.87
105,atuona,PF,-9.8,-139.03,79.23,79.23,74,0,15.21
106,saint anthony,US,43.97,-111.68,37.99,39.2,64,75,5.26
107,tiksi,RU,71.64,128.87,-3.1,-3.1,98,97,3.22
108,thompson,CA,55.74,-97.86,12.2,12.2,92,90,2.24
109,laguna,BZ,16.17,-88.94,77.0,77.0,83,75,4.7
110,mporokoso,ZM,-9.37,30.12,73.06,73.06,79,100,5.44
111,pangai,TO,-19.8,-174.35,75.2,75.2,73,20,5.82
112,san ramon,NI,12.92,-85.84,68.0,68.0,88,40,18.34
113,vredendal,ZA,-31.68,18.49,76.3,76.3,51,0,23.55
114,terrace,CA,54.52,-128.61,42.8,42.8,93,90,6.93
115,khorixas,NA,-20.37,14.96,87.6,87.6,20,13,23.38
116,santa marta,CO,11.24,-74.21,80.6,80.6,83,90,6.93
117,avera,US,33.19,-82.53,44.22,46.4,93,90,11.41
118,nishihara,JP,35.74,139.53,54.46,59.0,62,1,5.82
119,vao,EE,59.1,26.19,35.73,35.73,92,86,6.55
120,skibbereen,IE,51.55,-9.27,41.0,41.0,80,100,8.05
121,codrington,AU,-28.95,153.24,67.39,69.8,77,75,4.7
122,zhezkazgan,KZ,47.8,67.71,23.0,23.0,38,0,8.95
123,guarapari,BR,-20.67,-40.5,73.85,75.2,78,90,11.41
124,concarneau,FR,47.88,-3.92,49.59,51.8,66,75,13.87
125,liwale,TZ,-9.8,37.92,90.99,90.99,41,17,8.9
126,cartagena,ES,37.63,-1.0,58.91,60.8,39,0,16.11
127,pangnirtung,CA,66.15,-65.72,21.2,21.2,73,90,6.93
128,pisco,PE,-13.71,-76.2,67.77,71.6,30,90,11.41
129,sao gabriel,BR,-30.34,-54.32,75.16,75.16,47,0,2.71
130,avallon,FR,47.49,3.91,45.0,45.0,77,91,4.0
131,la ciotat,FR,43.17,5.6,54.18,57.2,62,30,3.36
132,kodiak,US,39.95,-94.76,32.9,36.0,59,1,4.7
133,hofn,IS,64.25,-15.21,41.02,41.02,60,0,14.94
134,delta del tigre,UY,-34.76,-56.41,73.78,75.99,68,90,16.11
135,lethem,GY,3.38,-59.8,90.75,90.75,49,100,7.94
136,severo-kurilsk,RU,50.68,156.12,19.71,19.71,79,81,3.53
137,luganville,VU,-15.51,167.18,72.99,72.99,93,100,3.2
138,chuy,UY,-33.69,-53.46,74.46,74.46,54,0,6.64
139,salalah,OM,17.01,54.1,82.4,82.4,58,75,11.41
140,borogontsy,RU,62.67,131.17,-19.68,-19.68,97,22,4.61
141,saint-philippe,CA,45.36,-73.48,10.53,14.0,66,1,4.7
142,houma,CN,35.63,111.36,49.98,49.98,37,100,5.82
143,darhan,MN,49.49,105.92,-0.83,-0.83,96,100,21.3
144,fortuna,US,40.6,-124.16,52.39,54.0,100,90,1.59
145,talnakh,RU,69.49,88.39,-7.6,-7.6,83,19,11.18
146,hasaki,JP,35.73,140.83,48.09,50.0,93,20,1.12
147,ajdabiya,LY,30.75,20.22,72.81,72.81,30,100,10.49
148,gizo,IL,31.8,34.94,71.89,77.0,44,75,4.7
149,sorland,NO,67.67,12.69,39.2,39.2,86,40,4.7
150,york,US,39.96,-76.73,33.96,37.0,59,1,11.41
151,beringovskiy,RU,63.05,179.32,29.79,29.79,76,100,17.85
152,lata,IN,30.78,78.62,24.94,24.94,64,99,6.51
153,high level,CA,58.52,-117.13,10.4,10.4,100,90,2.24
154,clyde river,CA,70.47,-68.59,8.6,8.6,71,90,4.7
155,victoria,BN,5.28,115.24,78.37,78.8,88,75,2.3
156,kirakira,SB,-10.46,161.92,76.82,76.82,90,92,8.3
157,luderitz,NA,-26.65,15.16,73.4,73.4,60,100,27.51
158,sidi ali,DZ,36.1,0.42,54.86,54.86,54,100,20.56
159,ghugus,IN,19.93,79.13,72.81,72.81,56,0,1.81
160,umm kaddadah,SD,13.6,26.69,89.33,89.33,18,0,17.11
161,coihaique,CL,-45.58,-72.07,51.8,51.8,62,75,8.05
162,sitka,US,37.17,-99.65,39.0,39.0,71,99,3.0
163,cabo san lucas,MX,22.89,-109.91,68.5,75.0,83,40,3.36
164,sedro-woolley,US,48.5,-122.23,47.44,52.0,100,90,4.56
165,dargaville,NZ,-35.94,173.86,50.54,50.54,95,13,3.33
166,novobureyskiy,RU,49.8,129.88,0.61,0.61,93,44,4.81
167,muskegon,US,43.23,-86.25,24.19,27.0,73,40,8.05
168,tocopilla,CL,-22.09,-70.2,73.42,73.42,22,6,7.63
169,torbay,CA,47.66,-52.73,44.96,46.0,93,90,26.4
170,college,US,64.86,-147.8,6.22,8.6,60,90,6.93
171,sao joao da barra,BR,-21.64,-41.05,73.47,75.2,88,90,11.86
172,teya,MX,21.05,-89.07,72.68,78.01,88,40,4.7
173,olga,US,34.11,-118.17,52.29,57.99,82,1,1.59
174,longyearbyen,NO,78.22,15.63,35.6,35.6,80,75,21.92
175,lavrentiya,RU,65.58,-170.99,25.29,25.29,77,18,19.04
176,goderich,CA,43.74,-81.71,14.0,17.01,77,0,15.01
177,yerbogachen,RU,61.28,108.01,-23.64,-23.64,95,100,5.59
178,kavieng,PG,-2.57,150.8,82.56,82.56,75,100,5.3
179,mirabad,IR,28.27,61.33,50.94,50.94,31,0,7.0
180,grindavik,IS,63.84,-22.43,38.25,39.2,80,75,21.92
181,bangangte,CM,5.14,10.52,81.41,81.41,58,100,1.39
182,cherskiy,RU,68.75,161.3,-3.42,-3.42,99,99,3.22
183,babstovo,RU,48.12,132.48,7.5,7.5,64,25,12.37
184,omboue,GA,-1.57,9.26,80.85,80.85,82,100,4.12
185,saint-louis,SN,16.03,-16.5,93.2,93.2,21,100,6.93
186,plastun,RU,44.76,136.29,13.66,13.66,53,2,6.8
187,port blair,IN,11.67,92.75,82.98,82.98,78,100,12.62
188,shubarkuduk,KZ,49.15,56.49,30.09,30.09,74,0,7.4
189,klaksvik,FO,62.23,-6.59,41.0,41.0,86,100,10.29
190,mar del plata,AR,-46.43,-67.52,65.53,65.53,28,100,24.11
191,tarko-sale,RU,64.92,77.78,-4.0,-4.0,84,100,17.02
192,puerto ayora,EC,-0.74,-90.35,69.78,71.6,83,90,12.75
193,eureka,US,40.8,-124.16,52.41,54.0,87,90,4.7
194,ulagan,RU,50.63,87.96,-16.58,-16.58,74,15,4.03
195,saint-joseph,FR,43.56,6.97,54.52,57.2,47,100,4.7
196,monte azul,BR,-15.15,-42.87,84.18,84.18,54,90,2.98
197,izobilnyy,RU,45.37,41.71,45.64,46.0,70,20,22.37
198,kathu,ZA,-27.7,23.05,95.0,95.0,10,19,4.0
199,karpogory,RU,64.0,44.44,26.56,26.56,96,100,2.8
200,beloha,MG,-25.17,45.06,75.61,75.61,78,96,11.65
201,goundam,ML,16.42,-3.66,94.03,94.03,10,53,10.76
202,simpang,ID,4.36,96.17,74.17,74.17,96,100,1.86
203,mirwah,YE,13.92,43.92,67.78,67.78,60,84,4.92
204,geraldton,CA,49.72,-86.95,5.0,5.0,84,75,13.73
205,bandarbeyla,SO,9.49,50.81,79.63,79.63,79,41,20.36
206,kosa,JP,32.67,130.82,48.13,48.2,49,0,4.7
207,sulangan,PH,11.14,123.72,80.64,80.64,79,94,7.38
208,plouzane,FR,48.38,-4.62,49.53,51.8,76,75,13.87
209,alta floresta,BR,-9.87,-56.08,84.67,84.67,76,100,2.75
210,saskylakh,RU,71.97,114.09,-9.89,-9.89,97,100,5.21
211,wylie,US,33.02,-96.54,33.48,39.99,77,1,6.93
212,faanui,PF,-16.48,-151.75,79.12,79.12,83,1,15.46
213,todos santos,MX,23.45,-110.23,69.46,75.0,83,40,3.36
214,aswan,EG,24.09,32.9,84.2,84.2,21,0,8.05
215,hnaberd,AM,40.64,44.14,47.53,50.0,48,0,9.17
216,mago,RU,53.27,140.15,28.99,28.99,95,100,13.51
217,xining,CN,36.62,101.77,32.09,32.09,36,33,10.74
218,abu kamal,SY,34.45,40.92,67.53,67.53,15,0,9.57
219,port-gentil,GA,-0.72,8.78,75.2,75.2,94,40,6.93
220,bonavista,CA,48.65,-53.11,44.01,44.01,86,100,18.01
221,bar harbor,US,44.39,-68.2,19.26,21.99,52,1,8.05
222,husavik,CA,50.56,-96.99,31.41,33.01,73,100,8.99
223,padang,ID,-0.92,100.36,66.96,66.96,93,12,3.71
224,mkuranga,TZ,-7.12,39.21,89.6,89.6,62,40,18.34
225,bujumbura,BI,-3.36,29.37,67.17,67.17,85,89,5.23
226,marsh harbour,BS,26.54,-77.06,73.81,73.81,86,100,19.44
227,wangkui,CN,46.83,126.5,12.6,12.6,35,0,4.0
228,colquechaca,BO,-18.7,-66.0,58.01,58.01,33,38,7.4
229,chalus,IR,36.66,51.42,50.0,50.0,71,75,11.41
230,ola,RU,59.58,151.3,13.42,13.42,68,100,16.96
231,igarka,RU,67.47,86.57,-18.45,-18.45,88,0,9.64
232,gurupi,BR,-11.73,-49.07,97.68,97.68,36,100,3.8
233,surt,LY,31.21,16.59,73.4,73.4,19,100,13.98
234,plettenberg bay,ZA,-34.05,23.37,63.59,63.59,94,93,11.7
235,coquimbo,CL,-29.95,-71.34,60.8,60.8,77,90,4.7
236,kurayoshi,JP,35.43,133.83,55.4,55.4,93,75,5.82
237,maun,BW,-19.99,23.42,98.6,98.6,19,20,9.17
238,rio grande,BR,-32.03,-52.1,73.17,73.4,56,0,2.24
239,taunggyi,MM,20.78,97.03,62.82,62.82,91,44,1.48
240,saint-pierre,FR,48.95,4.24,45.3,48.99,81,90,12.75
241,tiznit,MA,29.7,-9.73,57.27,57.27,37,0,11.32
242,esmeraldas,BR,-19.76,-44.31,71.6,71.6,78,75,4.7
243,qaqortoq,GL,60.72,-46.03,21.2,21.2,37,75,5.82
244,saint george,GR,39.45,22.34,66.2,66.2,72,20,3.36
245,sotouboua,TG,8.56,0.98,91.33,91.33,31,25,3.53
246,honnali,IN,14.24,75.65,72.23,72.23,71,100,6.76
247,verkhnevilyuysk,RU,63.45,120.31,-8.46,-8.46,96,100,6.53
248,luanda,AO,-8.83,13.24,82.4,82.4,74,40,11.41
249,nalut,LY,31.86,10.98,80.37,80.37,12,0,14.72
250,lac-megantic,CA,45.58,-70.88,5.97,9.0,71,20,7.74
251,singaraja,ID,-8.11,115.08,82.0,82.0,76,1,11.97
252,okha,RU,53.59,142.95,33.01,33.01,96,100,33.2
253,maldonado,UY,-34.91,-54.96,75.2,75.2,53,90,9.17
254,los andes,CL,-32.83,-70.6,75.2,75.2,47,36,2.24
255,veraval,FR,49.65,0.71,44.31,45.0,81,75,9.17
256,iquique,CL,-20.22,-70.14,68.0,68.0,60,88,9.17
257,zhuhai,CN,40.71,112.04,37.4,37.4,47,20,2.24
258,scunthorpe,GB,53.59,-0.65,48.11,50.0,100,75,9.17
259,paamiut,GL,61.99,-49.67,25.72,25.72,49,100,17.47
260,penzance,GB,50.12,-5.53,49.53,52.0,87,75,6.93
261,makokou,GA,0.56,12.85,79.14,79.14,83,100,0.31
262,santa isabel do rio negro,BR,-0.41,-65.02,80.37,80.37,93,99,3.36
263,nhulunbuy,AU,-12.18,136.78,78.8,78.8,83,100,4.7
264,del rio,US,29.36,-100.9,38.03,41.0,75,1,5.82
265,zhukovka,RU,55.51,37.29,36.88,37.4,93,90,8.95
266,magole,TZ,-6.37,37.37,87.8,87.8,62,40,9.17
267,coari,BR,-4.09,-63.14,80.22,80.22,79,100,3.62
268,benguela,AO,-12.58,13.4,77.94,77.94,75,100,6.93
269,auki,NG,12.18,6.51,95.18,95.18,15,65,7.99
270,comodoro rivadavia,AR,-45.87,-67.48,66.2,66.2,29,100,18.34
271,koutsouras,GR,35.03,25.95,73.0,73.0,50,67,8.01
272,sao miguel do araguaia,BR,-13.28,-50.16,78.01,78.01,78,92,3.6
273,hanyang,CN,32.14,105.51,57.0,57.0,79,18,3.62
274,turukhansk,RU,65.8,87.96,-15.83,-15.83,82,0,10.13
275,makakilo city,US,21.35,-158.09,75.88,78.8,100,75,4.7
276,garwa,IN,27.63,81.51,73.45,73.45,53,72,5.73
277,arsk,RU,56.09,49.88,33.8,33.8,86,20,6.71
278,berlevag,NO,70.86,29.09,34.68,34.68,74,45,6.58
279,kieta,PG,-6.22,155.63,80.92,80.92,81,88,2.66
280,puerto penasco,MX,31.32,-113.53,57.99,57.99,82,100,4.0
281,dalvik,SE,57.79,14.13,45.45,46.0,93,100,8.05
