,City,Country,Lat,Long,Temp,Max Temp,Humidity,Clouds,Wind Speed
282,cayenne,GF,4.94,-52.33,86.0,86.0,70,6,6.93
283,manching,DE,48.72,11.49,43.02,45.0,81,90,2.24
284,san patricio,PY,-26.98,-56.83,81.73,81.73,36,0,5.35
285,ishigaki,JP,24.34,124.16,76.35,76.35,81,1,18.61
286,ocampo,MX,27.32,-102.4,51.1,51.1,63,59,2.57
287,namatanai,PG,-3.66,152.44,82.72,82.72,73,99,1.36
288,ust-karsk,RU,52.71,118.82,-4.4,-4.4,92,95,2.82
289,cabedelo,BR,-6.97,-34.84,86.0,86.0,58,75,11.41
290,placido de castro,BR,-10.34,-67.19,75.74,75.74,87,100,1.39
291,villarrobledo,ES,39.27,-2.6,45.1,48.0,71,17,8.01
292,le port,FR,42.87,1.37,41.88,53.01,52,98,3.36
293,vostok,RU,46.45,135.83,3.06,3.06,94,100,10.29
294,destin,US,30.39,-86.5,42.49,46.99,70,1,12.75
295,thabazimbi,ZA,-24.59,27.41,91.99,91.99,22,10,3.0
296,lorengau,PG,-2.02,147.27,83.34,83.34,72,0,2.42
297,lebu,ET,8.96,38.73,71.6,71.6,40,75,12.75
298,shache,CN,38.42,77.24,46.92,46.92,24,100,4.34
299,iona,CA,45.96,-60.8,27.0,28.99,49,90,25.28
300,belyy yar,RU,53.6,91.39,-0.4,-0.4,64,92,6.71
301,saint-augustin,CA,45.63,-73.98,10.24,12.99,77,20,4.7
302,nouadhibou,MR,20.93,-17.03,68.0,68.0,60,96,18.34
303,eirunepe,BR,-6.66,-69.87,78.24,78.24,88,94,1.88
304,vostochnyy,RU,55.82,37.87,36.88,37.4,93,90,8.95
305,tuktoyaktuk,CA,69.44,-133.03,-1.86,-1.86,97,100,8.05
306,san juan,AR,-31.54,-68.53,85.68,85.68,30,0,26.13
307,dondo,MZ,-19.62,34.74,89.6,89.6,49,20,14.99
308,amalapuram,IN,16.58,82.0,86.0,86.0,66,0,10.29
309,gimli,CA,50.63,-96.99,31.42,33.01,73,100,8.99
310,teterow,DE,53.77,12.58,43.36,46.4,87,75,11.41
311,gat,SN,14.69,-16.54,85.33,86.0,58,86,8.05
312,beipiao,CN,41.8,120.76,26.73,26.73,32,100,2.93
313,rincon,PA,8.46,-82.28,68.86,75.2,100,20,2.24
314,moyale,ET,3.52,39.05,76.77,76.77,59,11,9.98
315,hobyo,SO,5.35,48.53,81.28,81.28,71,7,17.9
316,noyabrsk,RU,63.2,75.45,10.33,10.33,95,100,7.63
317,loudi,CN,27.73,112.0,70.29,70.29,70,58,3.06
318,coahuayana,MX,18.62,-100.35,72.3,72.3,87,79,1.72
319,leningradskiy,RU,69.38,178.42,15.21,15.21,76,0,3.0
320,mecca,SA,21.43,39.83,82.11,82.11,53,49,14.81
321,dingzhou,CN,38.51,115.0,44.6,44.6,81,90,2.24
322,ahuimanu,US,21.44,-157.84,75.88,78.8,78,1,3.36
323,bathsheba,BB,13.22,-59.52,86.0,86.0,66,20,8.05
324,sandwick,GB,54.57,-2.89,46.18,51.01,87,100,10.29
325,richards bay,ZA,-28.77,32.06,70.52,70.52,78,0,14.34
326,san jose,HN,14.25,-87.96,73.4,73.4,83,75,5.82
327,olinda,AU,-37.84,145.39,53.22,55.99,66,90,11.41
328,ilulissat,GL,69.22,-51.1,24.8,24.8,53,75,19.46
329,oistins,BB,13.07,-59.53,86.0,86.0,66,20,8.05
330,guarapuava,BR,-25.4,-51.46,79.56,79.56,38,0,3.11
331,fujin,CN,47.24,132.03,11.73,11.73,60,0,16.11
332,vestmannaeyjar,IS,63.44,-20.27,39.2,39.2,58,40,17.22
333,sangar,RU,63.92,127.47,-19.16,-19.16,99,97,2.64
334,podporozhye,RU,60.91,34.16,32.65,32.65,98,100,3.96
335,riga,LV,56.95,24.11,41.18,42.8,93,90,9.17
336,arraial do cabo,BR,-22.97,-42.02,77.0,77.0,73,80,17.22
337,ayan,IR,38.23,44.7,29.12,29.12,75,0,2.82
338,buala,SB,-8.15,159.59,80.37,80.37,85,37,9.17
339,ahipara,NZ,-35.17,173.16,61.0,61.0,100,0,11.34
340,raudeberg,NO,61.99,5.14,33.33,42.8,60,0,5.82
341,yeniseysk,RU,58.45,92.17,-4.86,-4.86,96,100,5.68
342,srednekolymsk,RU,67.46,153.71,6.12,6.12,95,100,6.4
343,makinsk,KZ,52.63,70.42,15.4,15.4,83,94,15.35
344,evensk,RU,61.92,159.24,8.44,8.44,73,100,14.97
345,narsaq,GL,60.91,-46.05,21.2,21.2,37,75,5.82
346,thinadhoo,MV,0.53,72.93,79.65,79.65,79,100,8.39
347,hami,CN,42.84,93.51,21.16,21.16,17,0,10.0
348,krasnorechenskiy,RU,44.63,135.35,10.06,10.06,59,0,11.52
349,santo domingo,DO,18.48,-69.94,79.97,82.99,88,20,5.14
350,estelle,FR,43.97,3.47,51.91,52.0,71,97,6.93
351,yamasaki,JP,34.97,134.76,54.07,57.2,76,75,4.7
352,turek,PL,52.02,18.5,58.06,59.0,80,100,11.32
353,haines junction,CA,60.75,-137.51,25.72,25.72,96,100,9.28
354,lompoc,US,34.64,-120.46,54.1,62.01,93,1,5.82
355,paso de carrasco,UY,-34.86,-56.05,73.78,75.99,49,75,17.22
356,mbanza-ngungu,CD,-5.25,14.87,75.15,75.15,88,100,5.77
357,labuhan,ID,-2.54,115.51,76.23,76.23,78,72,2.13
358,paracatu,BR,-17.22,-46.87,74.62,74.62,71,100,2.21
359,north battleford,CA,52.78,-108.3,35.06,36.0,93,90,16.11
360,imbituba,BR,-28.24,-48.67,75.2,75.2,57,20,8.05
361,ken caryl,US,39.58,-105.11,42.46,50.0,39,75,10.29
362,tilichiki,RU,60.47,166.1,5.11,5.11,82,95,10.22
363,broome,GB,52.47,1.45,46.6,48.99,66,40,3.36
364,vilyuysk,RU,63.75,121.63,-10.84,-10.84,97,100,8.46
365,morristown,US,36.21,-83.29,33.42,39.99,69,1,3.36
366,eatonton,US,33.33,-83.39,45.7,48.2,81,90,9.86
367,puerto escondido,MX,15.86,-97.07,75.2,75.2,69,75,11.41
368,chegdomyn,RU,51.13,133.04,-9.63,-9.63,94,100,1.77
369,campbell river,CA,50.02,-125.24,47.57,48.2,93,90,8.05
370,fuerte olimpo,BR,-21.04,-57.87,94.05,94.05,25,0,5.28
371,norman wells,CA,65.28,-126.83,-5.8,-5.8,83,90,8.05
372,beian,NO,63.66,9.57,34.14,39.0,74,81,9.17
373,tura,RU,64.27,100.22,-28.95,-28.95,95,40,2.68
374,morant bay,JM,17.88,-76.41,83.32,84.0,61,20,6.93
375,suleja,NG,9.18,7.18,93.2,93.2,56,100,9.17
376,okhotsk,RU,59.36,143.24,17.91,17.91,69,98,17.74
377,haverfordwest,GB,51.8,-4.97,48.24,50.0,71,100,5.82
378,susuman,RU,62.78,148.15,-6.5,-6.5,94,83,2.64
379,caohai,CN,26.87,104.28,49.89,49.89,96,0,4.25
380,sambava,MG,-14.27,50.17,74.8,74.8,96,100,1.5
381,nogliki,RU,51.8,143.14,13.82,13.82,85,100,25.12
382,semporna,MY,4.48,118.61,78.8,78.8,94,75,2.24
383,baykit,RU,61.68,96.39,-25.26,-25.26,98,79,1.12
384,komsomolskiy,RU,67.55,63.78,22.15,22.15,96,98,8.41
385,diffa,NE,13.32,12.61,96.62,96.62,11,85,11.03
386,saldanha,PT,41.42,-6.55,46.51,46.51,58,0,15.12
387,lagoa,PT,37.14,-8.45,60.26,60.8,36,0,6.93
388,mayo,CA,63.59,-135.9,5.0,5.0,71,90,9.17
389,inverell,AU,-29.78,151.11,62.04,64.0,49,0,3.0
390,lerwick,GB,60.15,-1.15,45.5,46.4,70,20,1.12
391,san rafael,AR,-34.61,-68.33,75.34,75.34,30,0,12.73
392,loma bonita,MX,18.11,-95.88,66.99,66.99,88,100,3.0
393,sungaipenuh,ID,-2.08,101.38,62.01,62.01,92,28,1.9
394,paulo afonso,BR,-9.4,-38.23,102.81,102.81,22,51,4.97
395,honningsvag,NO,70.98,25.97,34.95,34.95,75,1,10.71
396,shakawe,BW,-18.36,21.84,98.42,98.42,14,39,3.31
397,hokitika,NZ,-42.72,170.96,55.26,55.26,81,0,3.6
398,naberera,TZ,-4.2,36.93,79.61,79.61,50,100,13.4
399,macamic,CA,48.75,-79.0,-11.2,-11.2,69,20,2.24
400,natal,BR,-5.81,-35.21,84.85,86.0,55,75,14.99
401,eisiskes,LT,54.17,25.0,45.21,46.0,93,90,12.75
402,rio gallegos,AR,-51.62,-69.22,55.4,55.4,47,100,23.04
403,palmer,AU,-34.85,139.16,51.35,54.0,66,20,8.05
404,konjic,BA,43.65,17.96,66.25,69.8,42,40,21.92
405,broken hill,AU,-31.97,141.45,64.4,64.4,20,0,11.41
406,chute-aux-outardes,CA,49.12,-68.38,20.61,21.2,57,1,14.99
407,ostrovnoy,RU,68.05,39.51,22.24,22.24,96,80,8.16
408,yaroslavl,RU,57.63,39.89,35.6,35.6,90,90,6.71
409,westport,US,41.14,-73.36,32.05,37.0,37,1,12.75
410,the valley,AI,18.22,-63.06,82.56,84.0,78,20,5.82
411,esperance,AU,-33.86,121.89,68.0,68.0,56,23,16.11
412,aklavik,CA,68.22,-135.01,-13.0,-13.0,75,75,3.36
413,zhigansk,RU,66.77,123.37,-5.26,-5.26,99,100,8.1
414,payson,US,40.04,-111.73,35.98,41.0,50,1,4.7
415,yaring,TH,6.87,101.37,82.4,82.4,83,20,3.36
416,innisfail,AU,-17.52,146.03,67.42,67.42,89,100,3.89
417,impfondo,CD,1.62,18.06,80.58,80.58,86,100,4.54
418,auch,FR,43.65,0.59,44.46,46.0,87,75,11.41
419,puerto ayacucho,CO,5.66,-67.63,82.4,82.4,78,97,6.93
420,agadir,MA,30.42,-9.58,69.8,69.8,28,0,4.7
421,escanaba,US,45.75,-87.06,23.77,28.99,92,90,15.84
422,trinidad,BO,-14.83,-64.9,84.2,84.2,74,40,3.74
423,moron,HT,18.56,-74.26,81.3,81.3,71,0,2.66
424,berdigestyakh,RU,62.1,126.7,-13.58,-13.58,95,98,6.98
425,sawakin,SD,19.1,37.33,84.51,84.51,65,67,10.25
426,dali,CN,34.79,109.94,55.71,55.71,35,100,7.11
427,port hardy,CA,50.7,-127.42,48.2,48.2,93,90,21.92
428,milan,IT,45.47,9.19,47.68,53.01,81,75,3.36
429,tautira,PF,-17.73,-149.15,77.0,77.0,78,20,3.36
430,bunde,BE,50.9,5.73,45.91,48.99,70,100,10.29
431,port lincoln,AU,-34.72,135.86,52.56,52.56,73,15,10.92
432,muros,ES,42.77,-9.06,51.28,54.0,87,40,8.05
433,mariana,BR,-20.38,-43.42,73.06,73.06,81,94,2.66
434,bom jardim,BR,-7.8,-35.59,80.6,80.6,57,75,14.99
435,alcaniz,ES,41.05,-0.13,48.99,48.99,45,83,13.0
436,novouzensk,RU,50.46,48.14,35.15,35.15,59,0,8.34
437,shepetivka,UA,50.18,27.07,49.87,49.87,87,23,7.25
438,egvekinot,RU,66.32,-179.17,6.76,6.76,95,59,10.83
439,iqaluit,CA,63.75,-68.52,15.8,15.8,72,90,5.82
440,dicabisagan,PH,17.08,122.42,77.43,77.43,89,100,13.69
441,ust-kalmanka,RU,52.12,83.31,-2.24,-2.24,79,100,2.66
442,novyy urengoy,RU,66.08,76.63,-6.86,-6.86,95,100,16.75
443,nyurba,RU,63.29,118.35,-6.43,-6.43,95,100,5.86
444,wexford,US,40.63,-80.06,30.9,34.0,55,40,8.72
445,oytal,KZ,42.91,73.27,36.88,36.88,49,0,3.6
446,robertsport,LR,6.75,-11.37,82.89,82.89,69,12,6.58
447,norman,US,35.22,-97.44,38.89,44.01,74,1,8.05
448,wairoa,NZ,-39.04,177.43,64.0,64.0,58,100,1.99
449,leh,IN,34.16,77.58,20.32,20.32,92,99,3.74
450,pacific grove,US,36.62,-121.92,50.81,55.99,93,20,17.34
451,marshall,US,39.12,-93.2,29.89,32.0,74,1,3.36
452,ketchikan,US,55.34,-131.65,47.35,48.2,100,90,19.46
453,mendi,ET,9.8,35.1,69.71,69.71,70,100,1.95
454,beidao,CN,34.57,105.89,48.09,48.09,42,74,7.18
455,dudinka,RU,69.41,86.18,-7.6,-7.6,83,17,11.18
456,ugoofaaru,MV,5.67,73.0,81.39,81.39,77,100,10.0
457,bandundu,CD,-3.32,17.38,71.17,71.17,98,100,1.81
458,acapulco,MX,16.86,-99.88,75.2,75.2,88,75,4.7
459,albanel,CA,48.88,-72.44,11.17,12.99,60,20,6.93
460,somerset,US,41.77,-71.13,28.53,34.0,30,1,12.75
461,coronel oviedo,PY,-25.45,-56.44,87.57,87.57,28,0,3.44
462,la primavera,AR,-32.92,-68.67,80.6,80.6,28,3,13.87
463,aras,ES,42.56,-2.36,42.03,46.4,70,75,12.75
464,tatvan,TR,38.5,42.28,64.56,69.8,30,0,4.7
465,dauphin,CA,51.15,-100.04,35.6,35.6,93,90,8.05
466,adolfo lopez mateos,MX,26.8,-109.39,64.99,64.99,92,95,1.01
467,bangkalan,ID,-7.05,112.74,81.39,81.39,70,30,4.5
468,ornskoldsvik,SE,63.29,18.72,25.63,26.6,92,100,2.24
469,akureyri,IS,65.68,-18.09,33.8,33.8,59,0,18.34
470,srandakan,ID,-7.94,110.25,75.36,75.36,89,46,3.85
471,suntar,RU,62.16,117.65,-7.56,-7.56,93,100,10.04
472,abapo,BO,-18.83,-63.47,101.16,101.16,19,49,2.59
473,burgas,BG,42.49,27.45,59.31,60.8,87,40,8.05
474,dwarka,IN,28.58,77.04,75.2,75.2,50,0,6.93
475,northam,AU,-31.65,116.67,75.2,75.2,50,0,3.36
476,manaure,CO,11.78,-72.45,82.4,82.4,74,75,2.24
477,cumra,TR,37.57,32.77,59.0,59.0,67,20,9.17
478,lakatoro,VU,-16.11,167.42,78.69,78.69,80,100,14.03
479,waitati,NZ,-45.75,170.57,48.99,48.99,81,7,4.0
480,tiarei,PF,-17.53,-149.33,77.0,77.0,78,20,3.36
481,saveh,IR,35.02,50.36,39.2,39.2,76,100,6.4
482,sharlyk,RU,52.93,54.74,30.88,30.88,85,58,6.49
483,guerrero negro,MX,27.97,-114.04,63.9,63.9,89,14,8.23
484,rabo de peixe,PT,37.8,-25.58,64.4,64.4,52,75,4.7
485,flinders,AU,-34.58,150.85,61.97,64.99,100,90,4.7
486,sabattus,US,44.12,-70.11,18.32,24.01,56,1,11.41
487,arboletes,CO,8.85,-76.43,82.4,82.4,78,20,9.17
488,havelock,US,34.88,-76.9,51.44,53.6,71,90,20.8
489,evanston,US,42.04,-87.69,28.08,35.01,85,1,14.76
490,ilo,PE,-17.65,-71.34,69.8,69.8,73,97,9.17
491,joao pinheiro,BR,-17.74,-46.17,80.38,80.38,62,100,4.43
492,sobolevo,RU,54.43,31.9,39.63,39.63,94,71,8.61
493,barra patuca,HN,15.8,-84.28,81.99,81.99,78,37,22.01
494,meulaboh,ID,4.14,96.13,81.32,81.32,75,100,1.7
495,kudahuvadhoo,MV,2.67,72.89,76.3,76.3,92,100,4.03
496,barinas,VE,8.64,-70.23,83.3,83.3,67,21,5.95
497,pacasmayo,PE,-7.4,-79.57,70.29,70.29,71,27,10.22
498,najran,SA,17.54,44.22,82.4,82.4,24,20,11.41
499,grand forks,US,47.91,-97.06,31.5,37.4,74,1,17.22
500,townsville,AU,-19.26,146.82,76.46,77.0,73,8,9.17
501,virginia beach,US,36.85,-75.98,45.09,48.2,70,90,10.29
502,razdolnoye,RU,43.7,44.53,45.37,46.0,75,40,8.95
503,jacareacanga,BR,-6.22,-57.76,74.37,74.37,97,100,4.88
504,mbandaka,CD,0.05,18.26,79.54,79.54,93,100,2.35
505,talas,KG,42.52,72.24,33.15,33.15,53,0,1.77
506,zhigalovo,RU,54.81,105.15,-10.23,-10.23,94,88,2.15
507,adrar,DZ,27.87,-0.29,68.0,68.0,32,0,23.04
508,madimba,CM,4.42,9.93,87.8,87.8,70,40,4.7
509,sechura,PE,-5.56,-80.82,65.91,65.91,88,98,5.97
510,jawhar,IN,19.91,73.23,76.55,76.55,71,85,3.91
511,mantena,BR,-18.78,-40.98,77.27,77.27,75,100,3.83
512,walvis bay,NA,-22.95,14.51,67.42,69.8,64,67,9.17
513,sozopol,BG,42.42,27.69,59.31,60.8,87,40,8.05
514,kaliganj,BD,23.41,89.13,75.07,75.07,61,0,2.73
515,coffs harbour,AU,-30.3,153.13,65.12,68.0,77,90,5.82
516,orange walk,JM,17.93,-76.27,83.32,84.0,61,20,6.93
517,zlocieniec,PL,53.53,16.01,53.01,53.01,82,53,5.01
518,hita,JP,33.31,130.95,51.67,57.2,81,0,5.82
519,gejiu,CN,23.36,103.16,54.9,54.9,94,0,5.7
520,mogok,MM,22.92,96.51,62.89,62.89,74,0,2.73
521,linares,CL,-35.85,-71.6,75.65,75.65,46,0,7.29
522,sabang,PH,13.8,121.11,79.0,79.0,91,58,1.54
523,port macquarie,AU,-31.43,152.91,63.66,66.0,93,90,7.58
524,chato,TZ,-2.64,31.77,75.0,75.0,71,100,10.56
525,amudat,UG,1.95,34.95,81.12,81.12,32,53,16.22
526,watertown,US,44.9,-97.12,36.73,39.99,80,1,17.22
527,miquelon,PM,47.1,-56.38,35.22,35.6,71,75,28.86
528,faya,SA,18.39,42.45,64.45,66.2,67,40,9.17
529,ancud,CL,-41.87,-73.83,53.6,53.6,81,75,19.46
530,high rock,BS,26.63,-78.28,68.0,68.0,88,75,13.87
531,fukue,JP,35.03,136.69,56.05,62.6,63,40,12.75
532,te anau,NZ,-45.41,167.72,44.28,44.28,81,100,10.51
533,san luis,AR,-33.3,-66.34,80.76,80.76,40,33,21.0
534,ust-koksa,RU,50.27,85.62,-9.65,-9.65,65,59,6.78
535,mezhova,UA,48.26,36.73,43.72,43.72,67,0,6.93
536,kendari,ID,-3.99,122.52,74.8,74.8,88,23,0.51
537,los llanos de aridane,ES,28.66,-17.92,66.83,69.8,64,40,17.22
538,santa fe,AR,-31.62,-60.7,83.5,84.99,45,10,1.99
539,nanortalik,GL,60.14,-45.24,30.0,30.0,71,100,7.9
540,marawi,PH,8.0,124.29,64.2,64.2,93,10,2.73
541,calapi,PH,11.94,125.02,73.78,73.78,98,96,3.53
542,bulgan,MN,48.81,103.53,-5.69,-5.69,96,100,8.84
543,santa maria,BR,-16.02,-48.01,79.43,80.01,65,75,4.7
544,deputatskiy,RU,69.3,139.9,-3.39,-3.39,97,86,2.24
545,alice springs,AU,-23.7,133.88,73.4,73.4,11,0,1.12
546,batagay-alyta,RU,67.8,130.41,-8.61,-8.61,94,47,2.3
547,luwuk,ID,-0.95,122.79,82.27,82.27,68,93,6.69
548,flin flon,CA,54.77,-101.88,21.2,21.2,92,90,4.7
549,malartic,CA,48.14,-78.13,-8.68,-5.8,83,5,3.36
550,sibolga,ID,1.74,98.78,71.28,71.28,98,100,2.89
551,bongaree,AU,-27.08,153.16,72.5,73.99,73,45,11.41
552,san carlos de bariloche,AR,-41.13,-71.31,53.6,53.6,46,13,27.51
553,petropavlovsk-kamchatskiy,RU,53.05,158.65,17.6,17.6,78,75,6.71
554,makat,KZ,47.65,53.35,35.74,35.74,36,0,6.62
555,yulara,AU,-25.24,130.99,78.8,78.8,10,0,8.05
556,ust-ilimsk,RU,57.96,102.73,-11.27,-11.27,97,98,3.11
557,pacifica,US,37.61,-122.49,52.34,57.2,100,90,3.36
558,fairbanks,US,64.84,-147.72,5.68,7.0,60,90,6.93
559,youghal,IE,51.95,-7.85,42.49,44.01,80,100,6.93
560,kahului,US,20.89,-156.47,73.78,77.0,83,1,4.7
561,pocatello,US,42.87,-112.44,43.12,44.6,56,1,18.34
562,havre-saint-pierre,CA,50.23,-63.6,21.2,21.2,73,40,13.87
